,FlightDate,Tail_Number,CRSDepTime,Flight_Number_Reporting_Airline,IATA_CODE_Reporting_Airline,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,OriginAirportSeqID,DestAirportSeqID,DOT_ID_Reporting_Airline,ArrTime
,5/28/2009,N946AT,1204,671,FL,1202,-2,0,0,-1,10,1212,1533,8,1541,0,0,0,0,0,0,157,159,141,1066,5,1334202,1320401,20437,1541
,6/29/2013,N665MQ,1630,3297,MQ,1644,14,14,0,0,9,1653,1936,6,1945,-3,0,0,-1,0,0,135,118,103,773,4,1192102,1129803,20398,1942
,8/31/2010,N6705Y,1305,1806,DL,1305,0,0,0,0,23,1328,2008,7,2035,-20,0,0,-2,0,0,270,250,220,1979,8,1289201,1143301,19790,2015
,1/15/2006,N504AU,1820,465,US,1911,51,51,1,3,19,1930,2050,8,2026,32,32,1,2,0,0,126,107,80,529,3,1161801,1105702,20355,2058
,8/7/2006,N27724,1755,1431,CO,1751,-4,0,0,-1,33,1824,1958,4,2000,2,2,0,0,0,0,125,131,94,563,3,1072101,1104201,19704,2002
,6/11/2019,N927XJ,1950,3459,9E,2331,221,221,1,12,19,2350,25,6,2057,214,214,1,12,0,0,67,60,35,192,1,1039707,1086803,20363,31
,8/3/2008,N522LR,1550,7233,YV,1552,2,2,0,0,26,1618,1817,3,1810,10,10,0,0,0,0,80,88,59,316,2,1393001,1104201,20378,1820
,2/8/2018,N8688J,2030,5932,WN,2046,16,16,1,1,34,2120,2314,5,2250,29,29,1,1,0,0,140,153,114,793,4,1323202,1125903,19393,2319
,4/3/2014,N374SW,1025,1463,WN,1025,0,0,0,0,10,1035,1252,3,1300,-5,0,0,-1,0,0,95,90,77,562,3,1154003,1125903,19393,1255
,6/30/2013,N947SW,1601,6474,OO,1557,-4,0,0,-1,6,1603,1638,8,1705,-19,0,0,-2,0,0,124,109,95,677,3,1014002,1289203,20304,1646
,11/21/2003,N308UA,900,674,UA,855,-5,0,0,-1,14,909,1148,2,1206,-16,0,0,-2,0,0,126,115,99,733,3,1393001,1295301,19977,1150
,9/5/2007,N8928E,1201,1678,NW,1150,-11,0,0,-1,20,1210,1234,5,1246,-7,0,0,-1,0,0,45,49,24,98,1,1143301,1318402,19386,1239
,9/5/2015,N589AS,1745,413,AS,1733,-12,0,0,-1,9,1742,1824,8,1855,-23,0,0,-2,0,0,130,119,102,689,3,1486903,1474703,19930,1832
,1/28/2006,N426UA,1545,210,UA,1542,-3,0,0,-1,11,1553,2308,5,2327,-14,0,0,-1,0,0,282,271,255,2288,10,1289201,1226401,19977,2313
,9/17/2013,N425UA,1437,330,UA,1427,-10,0,0,-1,10,1437,1636,16,1704,-12,0,0,-1,0,0,147,145,119,837,4,1349503,1393002,19977,1652
,4/10/2013,N975EV,600,5319,EV,558,-2,0,0,-1,15,613,838,6,846,-2,0,0,-1,0,0,106,106,85,563,3,1478302,1039705,20366,844
,3/24/2020,N933LR,1858,5825,YV,1950,52,52,1,3,9,1959,2101,4,2021,44,44,1,2,0,0,83,75,62,355,2,1410702,1295407,20378,2105
,8/20/2010,N976SW,1342,6582,OO,1352,10,10,0,0,20,1412,1505,5,1453,17,17,1,1,0,0,71,78,53,326,2,1080002,1477101,20304,1510
,2/3/2013,N870AS,1751,4906,EV,1746,-5,0,0,-1,11,1757,1836,6,1907,-25,0,0,-2,0,0,76,56,39,192,1,1086803,1039705,20366,1842
,9/2/2019,N203JQ,1204,6104,YX,1200,-4,0,0,-1,10,1210,1439,10,1452,-3,0,0,-1,0,0,168,169,149,1010,5,1245102,1072102,20452,1449
,3/27/2019,N582NN,1605,5125,OH,1605,0,0,0,0,21,1626,1718,4,1728,-6,0,0,-1,0,0,83,77,52,245,1,1099005,1105703,20397,1722
,3/9/2016,N7706A,910,5859,WN,907,-3,0,0,-1,11,918,1015,3,1040,-22,0,0,-2,0,0,150,131,117,850,4,1129202,1080003,19393,1018
,11/6/2006,N326,920,1432,WN,918,-2,0,0,-1,11,929,1007,2,1015,-6,0,0,-1,0,0,55,51,38,237,1,1319801,1501602,19393,1009
,6/25/2018,N475UA,1910,781,UA,1904,-6,0,0,-1,14,1918,2024,5,2048,-19,0,0,-2,0,0,158,145,126,964,4,1129202,1326403,19977,2029
,2/28/2007,N969AS,1952,502,AS,2006,14,14,0,0,17,2023,2232,1,2235,-2,0,0,-1,0,0,163,147,129,1050,5,1474702,1467902,19930,2233
,3/12/2015,N8605E,845,3231,WN,843,-2,0,0,-1,13,856,1033,14,1115,-28,0,0,-2,0,0,270,244,217,1728,7,1323202,1467903,19393,1047
,7/25/2012,N631AW,1755,261,US,1833,38,38,1,2,13,1846,1931,5,1914,22,22,1,1,0,0,199,183,165,1276,6,1348702,1410702,20355,1936
,5/5/2017,N946WN,1730,1395,WN,1939,129,129,1,8,9,1948,2248,6,2055,119,119,1,7,0,0,145,135,120,936,4,1348702,1082104,19393,2254
,5/2/2002,N325DL,1300,2408,DL,1259,-1,0,0,-1,14,1313,1611,8,1613,6,6,0,0,0,0,133,140,118,828,4,1233902,1320401,19790,1619
,6/12/2014,N488WN,835,141,WN,907,32,32,1,2,20,927,1022,3,950,35,35,1,2,0,0,75,78,55,338,2,1410702,1490803,19393,1025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CRSDepTime,DepTimeBlk,,DestAirportSeqID,DestAirportID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,,,,,,,,,,
